SessionNumber,SessionDuration,GameName,GameDuration
2,83.0,ASSESSMENT,50.0
2,83.0,CALIBRATION,33.0
3,928.0,PING-PONG,42.0
3,928.0,SPACESHOOTER,794.0
3,928.0,TUK-TUK,92.0
