SessionNumber,SessionDuration,GameName,GameDuration
4,51.0,ASSESSMENT,51.0
5,266.0,ASSESSMENT,109.0
5,266.0,CALIBRATION,19.0
5,266.0,PING-PONG,47.0
5,266.0,SPACESHOOTER,62.0
5,266.0,TUK-TUK,29.0
