SessionNumber,SessionDuration,GameName,GameDuration
1,37.0,SPACESHOOTER,37.0
2,125.0,ASSESSMENT,7.0
2,125.0,CALIBRATION,3.0
2,125.0,PING-PONG,41.0
2,125.0,SPACESHOOTER,46.0
2,125.0,TUK-TUK,28.0
3,72.0,PING-PONG,36.0
3,72.0,SPACESHOOTER,29.0
3,72.0,TUK-TUK,7.0
