0 - moving, 1 - wallBounce, 2 - playerHit, 3 - enemyHit, 4 - playerFail, 5 - enemyFail
time, controltype, error, buttonState, angle, control, target, playerPosY, enemyPosY, events, playerScore, enemyScore
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.45856, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.430516, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.407593, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.374177, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.336264, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.294028, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.294028, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.273027, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.273027, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.250245, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.226565, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.226565, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.206773, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.180569, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.180569, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
01-11-2024 14:22:14, NONE, 0, 1, -0.197753906, 0, 999, 4.4, 3.158737, 0.00, 0.00, 0.00
