SessionNumber,SessionDuration,GameName,GameDuration
1,77.0,Assesment,27.0
1,77.0,Coin Collector,11.0
1,77.0,Flappy bird,15.0
1,77.0,Space-Shooter,0.0
1,77.0,ping-pong,24.0
2,93.0,Assesment,46.0
2,93.0,Coin Collector,22.0
2,93.0,Flappy bird,7.0
2,93.0,Space-Shooter,0.0
2,93.0,ping-pong,18.0
